Hello World!
{
	filename: train-images-idx3-ubyte
	type: train
	magic number: 2051
	images: 1000
	imagesTotal: 60000
	mean: 0.128239
	std. dev.: 0.305139
}
{
	filename: train-labels-idx1-ubyte
	type: train
	magic number: 2049
	images: 1000
	imagesTotal: 60000
	mean: 0.000000
	std. dev.: 0.000000
}
{
	filename: t10k-images-idx3-ubyte
	type: test
	magic number: 2051
	images: 1000
	imagesTotal: 10000
	mean: 0.122265
	std. dev.: 0.298380
}
{
	filename: t10k-labels-idx1-ubyte
	type: test
	magic number: 2049
	images: 1000
	imagesTotal: 10000
	mean: 0.000000
	std. dev.: 0.000000
}
CNN Architecture
CONV {
	input: 1X28X28
	output: 6X24X24
	weights: 6X1X5X5
}
RELU {
	input: 6X24X24
	output: 6X24X24
}
POOL {
	input: 6X24X24
	output: 6X12X12
	pool: 6X2X2
}
CONV {
	input: 6X12X12
	output: 16X8X8
	weights: 16X6X5X5
}
RELU {
	input: 16X8X8
	output: 16X8X8
}
POOL {
	input: 16X8X8
	output: 16X4X4
	pool: 16X2X2
}
FULL {
	input: 16X4X4
	output: 10X1X1
	weights: 10X16X4X4
}
SMAX {
	input: 10X1X1
	output: 10X1X1
}
LOSS {
	input: 10X1X1
	output: 10X1X1
	loss: 0.000000
}

TRAIN START
epoch	batch	image	input	output	pass	loss
0	0	0	9	9	1	0.445964
0	0	1	7	4	0	7.03864
0	0	2	8	4	0	5.63809
0	0	3	1	4	0	15.1405
0	0	4	5	5	1	0.69563
0	0	5	1	4	0	14.9415
0	0	6	5	5	1	0.00322442
0	0	7	4	5	0	1.45561
0	0	8	1	4	0	14.7511
0	0	9	6	2	0	17.8404
0	1	0	4	1	0	373.176
0	1	1	7	1	0	105.706
0	1	2	7	1	0	121.684
0	1	3	8	1	0	54.7122
0	1	4	4	1	0	382.878
0	1	5	7	1	0	117.808
0	1	6	2	1	0	278.242
0	1	7	6	1	0	113.331
0	1	8	6	1	0	100.535
0	1	9	3	1	0	112.531
0	2	0	5	0	0	33.3927
0	2	1	0	0	1	0.00142989
0	2	2	1	7	0	127.147
0	2	3	6	7	0	27.3997
0	2	4	0	0	1	9.76723e-06
0	2	5	3	7	0	56.7398
0	2	6	5	0	0	29.6676
0	2	7	9	0	0	41.8497
0	2	8	8	7	0	29.4221
0	2	9	7	0	0	8.28272
0	3	0	2	6	0	2.3026
0	3	1	9	6	0	2.30252
0	3	2	9	6	0	2.30252
0	3	3	9	6	0	2.30252
0	3	4	1	6	0	2.30289
0	3	5	0	6	0	2.30281
0	3	6	1	6	0	2.30289
0	3	7	3	6	0	2.30249
0	3	8	2	6	0	2.3026
